,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
3361,Male,Australia,37.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Deep learning,Scala,Bachelor's degree,Mathematics or statistics,More than 10 years,Self-taught,65.0,5.0,20.0,10.0,0.0,0.0
3362,Male,United States,27.0,Employed full-time,Yes,Data Scientist,Jupyter notebooks,Genetic & Evolutionary Algorithms,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,Self-taught,80.0,5.0,0.0,0.0,15.0,0.0
3363,Male,Japan,28.0,Employed full-time,Yes,Researcher,TensorFlow,Deep learning,Python,Doctoral degree,Electrical Engineering,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0
3364,Male,United States,33.0,Employed full-time,No,Engineer,Amazon Machine Learning,Time Series Analysis,Python,Some college/university study without earning a bachelor's degree,I never declared a major,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",5.0,90.0,0.0,0.0,5.0,0.0
3365,Female,Belgium,43.0,"Independent contractor, freelancer, or self-employed",No,Scientist/Researcher,Spark / MLlib,Neural Nets,R,Master's degree,Electrical Engineering,More than 10 years,Work,50.0,20.0,10.0,20.0,0.0,0.0
3366,Male,Spain,57.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Deep learning,Python,Doctoral degree,Computer Science,More than 10 years,University courses,40.0,50.0,0.0,0.0,10.0,0.0
3368,Male,India,36.0,Employed full-time,Yes,Engineer,TensorFlow,Deep learning,Python,Doctoral degree,Computer Science,3 to 5 years,University courses,20.0,30.0,20.0,30.0,0.0,0.0
3369,Male,Australia,59.0,Employed full-time,Yes,Data Analyst,Java,Regression,Java,Doctoral degree,Mathematics or statistics,More than 10 years,Self-taught,40.0,30.0,30.0,0.0,0.0,0.0
3370,Male,United States,28.0,Employed full-time,No,Data Scientist,Amazon Machine Learning,Deep learning,SQL,Doctoral degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,20.0,40.0,10.0,0.0,0.0
3371,Male,United States,44.0,Employed full-time,Yes,Data Analyst,R,Time Series Analysis,SQL,Master's degree,Other,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,90.0,0.0,0.0,0.0,0.0
3372,Male,Sweden,34.0,Employed full-time,Yes,Scientist/Researcher,Microsoft Azure Machine Learning,Neural Nets,R,Doctoral degree,A social science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",30.0,60.0,0.0,10.0,0.0,0.0
3373,Male,United States,30.0,Employed full-time,Yes,Engineer,TensorFlow,Deep learning,SQL,Bachelor's degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",20.0,60.0,10.0,0.0,10.0,0.0
3377,Male,Germany,59.0,Retired,Yes,Business Analyst,TensorFlow,Neural Nets,Python,Master's degree,"Information technology, networking, or system administration",More than 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0
3378,Male,Turkey,32.0,Employed full-time,No,Other,TensorFlow,Time Series Analysis,Python,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,70.0,25.0,0.0,0.0,5.0,0.0
3379,Male,Russia,33.0,Employed full-time,Yes,Scientist/Researcher,R,Factor Analysis,R,Master's degree,Physics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,30.0,10.0,0.0,30.0,0.0
3382,Male,United States,31.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Neural Nets,Python,Master's degree,Electrical Engineering,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",45.0,45.0,0.0,10.0,0.0,0.0
3385,Male,Sweden,50.0,Employed full-time,Yes,Data Scientist,Other,Other,Python,Master's degree,Computer Science,6 to 10 years,University courses,0.0,30.0,0.0,70.0,0.0,0.0
3386,Male,People 's Republic of China,30.0,Employed full-time,Yes,Machine Learning Engineer,Spark / MLlib,Deep learning,C/C++/C#,Master's degree,"Information technology, networking, or system administration",3 to 5 years,Self-taught,30.0,20.0,50.0,0.0,0.0,0.0
3388,Female,United States,40.0,Employed full-time,Yes,Researcher,Microsoft Excel Data Mining,Genetic & Evolutionary Algorithms,Python,Master's degree,A social science,More than 10 years,Work,25.0,25.0,25.0,20.0,5.0,0.0
3389,Male,Brazil,41.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,R,Bachelor's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",5.0,80.0,13.0,0.0,2.0,0.0
3390,Male,France,33.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Microsoft Azure Machine Learning,Monte Carlo Methods,R,Master's degree,Mathematics or statistics,6 to 10 years,Kaggle competitions,60.0,20.0,0.0,0.0,20.0,0.0
3391,Male,United Kingdom,26.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Deep learning,R,Master's degree,Computer Science,1 to 2 years,University courses,20.0,10.0,30.0,40.0,0.0,0.0
3392,Male,India,22.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Neural Nets,R,Master's degree,"Information technology, networking, or system administration",Less than a year,Other,20.0,30.0,7.0,40.0,3.0,0.0
3393,Male,Nigeria,28.0,Employed full-time,No,Software Developer/Software Engineer,Python,Neural Nets,Python,Master's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,70.0,0.0,10.0,0.0,0.0
3395,Male,United States,34.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Deep learning,Python,Master's degree,A social science,More than 10 years,Self-taught,50.0,10.0,30.0,0.0,10.0,0.0
3396,Male,United States,30.0,Employed full-time,Yes,Data Analyst,Python,Random Forests,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,40.0,10.0,20.0,30.0,0.0,0.0
3397,Male,Other,35.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",40.0,60.0,0.0,0.0,0.0,0.0
3400,Male,United States,31.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Genetic & Evolutionary Algorithms,Python,Doctoral degree,A humanities discipline,1 to 2 years,Self-taught,40.0,30.0,30.0,0.0,0.0,0.0
3401,Male,United States,37.0,Employed full-time,No,Other,I don't plan on learning a new tool/technology,Neural Nets,Python,Bachelor's degree,Physics,Less than a year,Kaggle competitions,5.0,0.0,5.0,0.0,90.0,0.0
3404,Male,Greece,26.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Time Series Analysis,Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,50.0,15.0,0.0,30.0,5.0,0.0
3405,Female,Germany,52.0,Employed full-time,No,Business Analyst,Hadoop/Hive/Pig,Genetic & Evolutionary Algorithms,Python,Doctoral degree,Other,Less than a year,"Online courses (coursera, udemy, edx, etc.)",25.0,75.0,0.0,0.0,0.0,0.0
3407,Male,United Kingdom,35.0,Employed full-time,Yes,Researcher,TensorFlow,Deep learning,Python,Doctoral degree,Electrical Engineering,More than 10 years,University courses,20.0,0.0,30.0,50.0,0.0,0.0
3408,Male,United States,31.0,Employed full-time,Yes,Data Scientist,Google Cloud Compute,I don't plan on learning a new ML/DS method,R,Master's degree,Mathematics or statistics,6 to 10 years,University courses,20.0,5.0,25.0,35.0,15.0,0.0
3411,Male,Brazil,42.0,Employed full-time,Yes,Business Analyst,IBM Watson / Waton Analytics,Link Analysis,R,Master's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,10.0,0.0,10.0,0.0
3414,Male,France,47.0,Employed full-time,Yes,Data Scientist,Hadoop/Hive/Pig,Deep learning,Python,Master's degree,Mathematics or statistics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",0.0,60.0,20.0,20.0,0.0,0.0
3417,Male,Ukraine,29.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Monte Carlo Methods,SQL,Doctoral degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",25.0,5.0,5.0,5.0,60.0,0.0
3418,Male,United States,29.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Neural Nets,Python,Master's degree,Mathematics or statistics,6 to 10 years,Self-taught,60.0,20.0,20.0,0.0,0.0,0.0
3419,Male,Other,26.0,"Independent contractor, freelancer, or self-employed",No,Programmer,Weka,Bayesian Methods,Python,Master's degree,"Information technology, networking, or system administration",Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0
3420,Male,Other,39.0,Employed full-time,Yes,Business Analyst,TensorFlow,Deep learning,Python,Bachelor's degree,"Information technology, networking, or system administration",6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,40.0,30.0,0.0,20.0,0.0
3421,Male,United States,42.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Deep learning,Python,Master's degree,Engineering (non-computer focused),More than 10 years,Work,14.0,0.0,40.0,45.0,1.0,0.0
3422,Male,Australia,43.0,"Independent contractor, freelancer, or self-employed",Yes,Other,Other,Deep learning,Python,Master's degree,Computer Science,More than 10 years,University courses,20.0,0.0,80.0,0.0,0.0,0.0
3427,Male,Brazil,28.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Monte Carlo Methods,Python,Bachelor's degree,Computer Science,More than 10 years,University courses,45.0,15.0,5.0,20.0,15.0,0.0
3428,Female,Hungary,26.0,Employed full-time,Yes,Scientist/Researcher,Other,Deep learning,Python,Doctoral degree,Physics,3 to 5 years,Self-taught,40.0,20.0,0.0,30.0,10.0,0.0
3429,Male,United States,57.0,Employed full-time,No,Statistician,R,Social Network Analysis,Stata,Doctoral degree,A humanities discipline,I don't write code to analyze data,University courses,20.0,0.0,40.0,40.0,0.0,0.0
3431,Male,India,28.0,Employed full-time,Yes,Programmer,R,Text Mining,Stata,Bachelor's degree,Electrical Engineering,1 to 2 years,Self-taught,20.0,20.0,20.0,20.0,0.0,20.0
3433,Male,Brazil,29.0,Employed full-time,Yes,Engineer,R,Deep learning,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,20.0,0.0,0.0,0.0
3434,Male,Spain,40.0,Employed full-time,Yes,Software Developer/Software Engineer,Spark / MLlib,Genetic & Evolutionary Algorithms,Scala,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,30.0,40.0,0.0,0.0,0.0
3436,Male,Russia,33.0,"Independent contractor, freelancer, or self-employed",Yes,Software Developer/Software Engineer,Other,Social Network Analysis,Python,Bachelor's degree,Physics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,10.0,0.0,10.0,0.0
3437,Male,Belarus,24.0,Employed full-time,Yes,Software Developer/Software Engineer,Other,Deep learning,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",25.0,40.0,10.0,10.0,15.0,0.0
3438,Male,United States,31.0,Employed full-time,Yes,Data Scientist,Other,Anomaly Detection,Python,Doctoral degree,Biology,More than 10 years,Self-taught,50.0,10.0,30.0,10.0,0.0,0.0
3439,Male,United States,26.0,Employed full-time,Yes,Scientist/Researcher,Amazon Web services,Deep learning,Python,Doctoral degree,Other,6 to 10 years,University courses,35.0,5.0,10.0,50.0,0.0,0.0
3441,Male,India,25.0,Employed full-time,No,Software Developer/Software Engineer,Cloudera,Regression,SQL,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,0.0,0.0,10.0,0.0
3442,Male,Russia,31.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Mathematics or statistics,6 to 10 years,Work,15.0,5.0,60.0,15.0,5.0,0.0
3443,Male,Ukraine,22.0,Employed part-time,Yes,Machine Learning Engineer,C/C++,Time Series Analysis,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,40.0,0.0,0.0,10.0,0.0
3445,Male,United States,30.0,Employed full-time,Yes,Scientist/Researcher,Stan,Text Mining,Python,Doctoral degree,Mathematics or statistics,More than 10 years,University courses,40.0,25.0,20.0,15.0,0.0,0.0
3447,Male,Germany,44.0,Employed full-time,Yes,Statistician,Jupyter notebooks,Deep learning,Python,Doctoral degree,Mathematics or statistics,More than 10 years,University courses,60.0,0.0,40.0,0.0,0.0,0.0
3448,Female,United States,30.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Doctoral degree,Biology,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",70.0,10.0,0.0,20.0,0.0,0.0
3449,Male,India,22.0,"Independent contractor, freelancer, or self-employed",Yes,Software Developer/Software Engineer,SAP BusinessObjects Predictive Analytics,Text Mining,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,Other,40.0,10.0,15.0,5.0,10.0,20.0
3451,Male,Australia,37.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Bachelor's degree,Physics,6 to 10 years,Work,40.0,10.0,50.0,0.0,0.0,0.0
3452,Male,India,42.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,Python,Master's degree,Computer Science,Less than a year,Work,25.0,15.0,30.0,20.0,10.0,0.0
3455,Male,Brazil,27.0,Employed full-time,No,Programmer,RapidMiner (commercial version),Deep learning,Python,Master's degree,Computer Science,3 to 5 years,University courses,50.0,0.0,20.0,20.0,10.0,0.0
3456,Male,Canada,30.0,Employed full-time,Yes,Data Scientist,C/C++,Deep learning,Python,Doctoral degree,Psychology,3 to 5 years,Self-taught,30.0,15.0,40.0,15.0,0.0,0.0
3457,Male,United States,34.0,Employed full-time,Yes,Data Scientist,Amazon Machine Learning,Social Network Analysis,Python,Master's degree,Mathematics or statistics,More than 10 years,Work,65.0,5.0,30.0,0.0,0.0,0.0
3458,Male,United States,31.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Bayesian Methods,Python,Doctoral degree,Physics,More than 10 years,Self-taught,20.0,15.0,65.0,0.0,0.0,0.0
3459,Male,United Kingdom,37.0,Employed full-time,Yes,Data Scientist,TensorFlow,Neural Nets,Python,Master's degree,A social science,6 to 10 years,Self-taught,10.0,5.0,55.0,20.0,10.0,0.0
3460,Male,Greece,30.0,Employed full-time,No,Software Developer/Software Engineer,Python,Support Vector Machines (SVM),Python,Master's degree,Mathematics or statistics,1 to 2 years,Self-taught,40.0,10.0,0.0,30.0,20.0,0.0
3461,Male,Other,41.0,Employed full-time,No,Computer Scientist,TensorFlow,Neural Nets,Python,Master's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",100.0,0.0,0.0,0.0,0.0,0.0
3462,Male,United States,46.0,Employed full-time,No,Engineer,TensorFlow,Decision Trees,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",100.0,0.0,0.0,0.0,0.0,0.0
3463,Male,United States,54.0,Employed full-time,Yes,Other,Other,Neural Nets,Scala,Doctoral degree,Mathematics or statistics,More than 10 years,Self-taught,50.0,10.0,40.0,0.0,0.0,0.0
3464,Male,India,25.0,"Independent contractor, freelancer, or self-employed",No,Predictive Modeler,Python,Neural Nets,R,Master's degree,Electrical Engineering,1 to 2 years,Self-taught,50.0,10.0,30.0,10.0,0.0,0.0
3466,Male,Netherlands,26.0,Employed full-time,Yes,Data Scientist,TensorFlow,Genetic & Evolutionary Algorithms,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,0.0,10.0,30.0,40.0,20.0,0.0
3468,Male,Portugal,23.0,Employed full-time,Yes,Researcher,Julia,Deep learning,Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,15.0,0.0,30.0,50.0,5.0,0.0
3469,Male,Brazil,34.0,Employed full-time,No,Other,Spark / MLlib,Cluster Analysis,Python,Some college/university study without earning a bachelor's degree,Computer Science,I don't write code to analyze data,University courses,30.0,10.0,10.0,50.0,0.0,0.0
3470,Male,United States,33.0,"Independent contractor, freelancer, or self-employed",Yes,Scientist/Researcher,Spark / MLlib,Deep learning,Python,Master's degree,Other,6 to 10 years,Self-taught,55.0,5.0,20.0,20.0,0.0,0.0
3471,Male,Brazil,52.0,Employed full-time,Yes,Programmer,Other,Random Forests,Python,Bachelor's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
3473,Male,United States,33.0,Employed full-time,Yes,Other,Other,Anomaly Detection,R,Doctoral degree,Other,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",25.0,50.0,10.0,0.0,15.0,0.0
3474,Female,India,21.0,Employed part-time,Yes,Data Analyst,Weka,Social Network Analysis,R,Bachelor's degree,Other,Less than a year,Other,10.0,35.0,55.0,0.0,0.0,0.0
3475,Female,Brazil,74.0,Retired,Yes,Scientist/Researcher,Python,Cluster Analysis,Python,Doctoral degree,Physics,6 to 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
3478,Male,United States,47.0,Employed full-time,Yes,Statistician,Other,Support Vector Machines (SVM),SAS,Doctoral degree,Biology,6 to 10 years,Self-taught,80.0,0.0,15.0,5.0,0.0,0.0
3480,Male,United States,31.0,Employed full-time,Yes,Business Analyst,Other,Neural Nets,SQL,Master's degree,Engineering (non-computer focused),6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,10.0,0.0,0.0,0.0
3484,Male,Ukraine,26.0,Employed full-time,Yes,Researcher,SQL,Bayesian Methods,R,Master's degree,A social science,3 to 5 years,University courses,20.0,30.0,5.0,40.0,5.0,0.0
3486,Male,India,30.0,Employed full-time,Yes,Data Scientist,TensorFlow,Bayesian Methods,Python,Master's degree,Engineering (non-computer focused),6 to 10 years,Self-taught,35.0,30.0,5.0,30.0,0.0,0.0
3488,Female,Russia,26.0,Employed full-time,Yes,Scientist/Researcher,Python,Text Mining,Python,Doctoral degree,Other,1 to 2 years,Work,0.0,10.0,70.0,0.0,20.0,0.0
3489,Male,United States,31.0,Employed full-time,Yes,Data Scientist,KNIME (free version),Deep learning,Python,Doctoral degree,Other,3 to 5 years,Self-taught,80.0,0.0,0.0,10.0,0.0,10.0
3492,Male,Other,33.0,Employed full-time,Yes,Scientist/Researcher,Other,I don't plan on learning a new ML/DS method,R,Doctoral degree,Computer Science,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,15.0,0.0,30.0,5.0,0.0
3495,Male,Netherlands,30.0,Employed full-time,Yes,Data Scientist,Other,Neural Nets,R,Master's degree,Engineering (non-computer focused),6 to 10 years,University courses,15.0,15.0,30.0,40.0,0.0,0.0
3496,Male,Russia,26.0,Employed full-time,Yes,Machine Learning Engineer,Java,Association Rules,Python,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,Work,15.0,10.0,75.0,0.0,0.0,0.0
3497,Male,Japan,37.0,Employed full-time,Yes,Other,Spark / MLlib,Association Rules,Python,Master's degree,Physics,6 to 10 years,Self-taught,50.0,0.0,0.0,0.0,50.0,0.0
3498,Male,United States,32.0,Employed full-time,Yes,Machine Learning Engineer,Python,Time Series Analysis,Python,Doctoral degree,Electrical Engineering,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,10.0,50.0,10.0,20.0,0.0
3499,Female,United States,33.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,A social science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",25.0,25.0,25.0,25.0,0.0,0.0
3501,Male,Taiwan,24.0,Employed full-time,Yes,Data Scientist,Unix shell / awk,Uplift Modeling,R,Master's degree,Mathematics or statistics,1 to 2 years,University courses,70.0,0.0,15.0,15.0,0.0,0.0
3502,Male,South Korea,30.0,Employed full-time,Yes,Data Scientist,C/C++,Deep learning,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,3 to 5 years,University courses,45.0,10.0,40.0,5.0,0.0,0.0
3503,Female,United States,29.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,I don't plan on learning a new tool/technology,Neural Nets,Python,Doctoral degree,Biology,6 to 10 years,Work,50.0,30.0,20.0,0.0,0.0,0.0
3507,Male,Other,23.0,Employed full-time,No,Software Developer/Software Engineer,R,Deep learning,R,Bachelor's degree,A health science,Less than a year,University courses,80.0,10.0,0.0,10.0,0.0,0.0
3509,Male,Russia,25.0,Employed full-time,Yes,Data Analyst,Python,Neural Nets,Python,Master's degree,Mathematics or statistics,1 to 2 years,Work,25.0,60.0,15.0,0.0,0.0,0.0
3512,Male,Switzerland,36.0,Employed full-time,Yes,Data Scientist,Google Cloud Compute,Proprietary Algorithms,Python,Doctoral degree,Physics,More than 10 years,University courses,0.0,0.0,89.0,10.0,1.0,0.0
3515,Male,Netherlands,35.0,Employed full-time,Yes,Business Analyst,Amazon Machine Learning,Factor Analysis,Python,Bachelor's degree,Engineering (non-computer focused),More than 10 years,Other,50.0,0.0,40.0,0.0,0.0,10.0
3516,Male,Other,34.0,Employed full-time,Yes,Software Developer/Software Engineer,Julia,Random Forests,R,Doctoral degree,Engineering (non-computer focused),More than 10 years,Self-taught,90.0,5.0,0.0,0.0,5.0,0.0
3519,Male,United States,35.0,Employed full-time,Yes,Other,Python,I don't plan on learning a new ML/DS method,Python,Doctoral degree,Physics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
3520,Male,India,32.0,Employed full-time,Yes,Machine Learning Engineer,DataRobot,Deep learning,R,Doctoral degree,Computer Science,3 to 5 years,University courses,30.0,0.0,30.0,30.0,10.0,0.0
3522,Male,United States,38.0,Employed full-time,Yes,Other,Jupyter notebooks,Neural Nets,Python,Master's degree,Mathematics or statistics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,10.0,20.0,0.0,0.0
3524,Male,India,22.0,Employed full-time,No,Other,Python,Deep learning,Python,Bachelor's degree,Electrical Engineering,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",20.0,75.0,0.0,5.0,0.0,0.0
3526,Male,India,27.0,Employed full-time,Yes,Statistician,Python,Deep learning,R,Master's degree,Mathematics or statistics,1 to 2 years,University courses,0.0,30.0,0.0,30.0,40.0,0.0
3527,Male,Brazil,31.0,Employed full-time,Yes,Software Developer/Software Engineer,Hadoop/Hive/Pig,Deep learning,Python,Bachelor's degree,Computer Science,Less than a year,Self-taught,80.0,20.0,0.0,0.0,0.0,0.0
3528,Male,United States,30.0,Employed full-time,Yes,Data Scientist,Java,Cluster Analysis,Python,Doctoral degree,Physics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,10.0,30.0,0.0,10.0,0.0
3529,Male,United States,29.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,44.0,1.0,10.0,40.0,5.0,0.0
3530,Male,United States,68.0,Retired,Yes,Statistician,R,Survival Analysis,SQL,Doctoral degree,Psychology,More than 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
3531,Male,United States,24.0,Employed full-time,Yes,Engineer,Python,Deep learning,R,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Self-taught,75.0,10.0,15.0,0.0,0.0,0.0
3537,Male,United States,31.0,Employed full-time,Yes,Data Analyst,Stan,Neural Nets,R,I prefer not to answer,Mathematics or statistics,3 to 5 years,Work,10.0,10.0,75.0,0.0,0.0,5.0
3538,Male,Brazil,30.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,"Ensemble Methods (e.g. boosting, bagging)",Python,Bachelor's degree,I never declared a major,6 to 10 years,Self-taught,60.0,30.0,10.0,0.0,0.0,0.0
3540,Male,Canada,35.0,Employed full-time,Yes,Scientist/Researcher,Spark / MLlib,Deep learning,Python,Master's degree,Physics,More than 10 years,Work,15.0,5.0,80.0,0.0,0.0,0.0
3541,Male,Brazil,26.0,Employed full-time,Yes,Other,R,Time Series Analysis,Python,Bachelor's degree,Other,Less than a year,"Online courses (coursera, udemy, edx, etc.)",70.0,30.0,0.0,0.0,0.0,0.0
3543,Male,United States,35.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Spark / MLlib,Deep learning,Python,Bachelor's degree,Computer Science,More than 10 years,University courses,65.0,15.0,5.0,5.0,10.0,0.0
3544,Male,Japan,34.0,Employed full-time,No,Other,Amazon Web services,Deep learning,Python,Bachelor's degree,Psychology,1 to 2 years,Kaggle competitions,10.0,0.0,0.0,0.0,90.0,0.0
3547,Male,Mexico,26.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Time Series Analysis,Scala,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,University courses,60.0,20.0,10.0,10.0,0.0,0.0
3548,Male,Other,39.0,Employed full-time,Yes,Data Scientist,Jupyter notebooks,Deep learning,R,Doctoral degree,Computer Science,More than 10 years,University courses,30.0,30.0,20.0,20.0,0.0,0.0
3549,Male,India,23.0,Employed full-time,No,Software Developer/Software Engineer,Java,Neural Nets,C/C++/C#,Master's degree,Computer Science,1 to 2 years,University courses,50.0,0.0,20.0,30.0,0.0,0.0
3551,Male,United States,27.0,Employed part-time,Yes,Predictive Modeler,Stan,Bayesian Methods,R,Master's degree,A humanities discipline,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,30.0,20.0,40.0,0.0,0.0
3552,Male,Ukraine,30.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,Neural Nets,Python,Master's degree,A social science,3 to 5 years,University courses,70.0,0.0,15.0,13.0,2.0,0.0
3557,Female,India,27.0,Employed full-time,No,Software Developer/Software Engineer,Amazon Machine Learning,Deep learning,Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",10.0,30.0,0.0,60.0,0.0,0.0
3558,Male,United States,27.0,Employed part-time,Yes,Researcher,SAS Base,Bayesian Methods,Stata,Doctoral degree,A humanities discipline,3 to 5 years,University courses,90.0,5.0,5.0,0.0,0.0,0.0
3559,Male,Spain,24.0,Employed full-time,Yes,Data Analyst,Amazon Web services,Time Series Analysis,Python,Bachelor's degree,Computer Science,1 to 2 years,University courses,30.0,40.0,5.0,20.0,5.0,0.0
3560,A different identity,Netherlands,58.0,Employed full-time,Yes,Scientist/Researcher,Spark / MLlib,Deep learning,R,Master's degree,Physics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",15.0,70.0,0.0,0.0,10.0,5.0
3563,Male,Poland,42.0,Employed full-time,Yes,Data Analyst,Microsoft SQL Server Data Mining,Deep learning,R,Master's degree,Physics,More than 10 years,Self-taught,40.0,30.0,20.0,5.0,5.0,0.0
3564,Male,India,26.0,Employed full-time,Yes,Business Analyst,Hadoop/Hive/Pig,Deep learning,Python,Master's degree,Engineering (non-computer focused),Less than a year,University courses,10.0,20.0,20.0,10.0,10.0,30.0
3567,Male,Poland,25.0,Employed full-time,Yes,Data Analyst,Microsoft SQL Server Data Mining,Time Series Analysis,R,Master's degree,Mathematics or statistics,Less than a year,University courses,10.0,15.0,15.0,60.0,0.0,0.0
3570,Male,United States,56.0,Employed full-time,Yes,Software Developer/Software Engineer,Amazon Machine Learning,Support Vector Machines (SVM),R,Master's degree,Computer Science,3 to 5 years,University courses,10.0,60.0,10.0,10.0,10.0,0.0
